Transaction_ID,Transaction_Date,Revenue,Expenses,Profit,Category,Department,Manager_Name,Region
31,2020-01-15,21135.14,11619.57,9515.57,Sales Revenue,Marketing,John Doe,North America
32,2023-04-06,12939.7,8329.33,4610.37,Sales Revenue,Marketing,John Doe,Asia-Pacific
33,2020-02-01,19609.06,4586.92,15022.14,Sales Revenue,Sales,Sarah Brown,South America
34,2023-01-10,18219.53,4465.09,13754.44,Marketing Expenses,Marketing,Sarah Brown,Europe
35,2022-11-09,13026.01,7065.52,5960.49,Operating Expenses,Finance,Jane Smith,North America
36,2021-12-19,1606.67,16018.54,-14411.87,Sales Revenue,Marketing,Sarah Brown,North America
37,2019-06-27,9932.84,9415.9,516.94,Marketing Expenses,Operations,David Green,Asia-Pacific
38,2024-02-25,29231.95,18576.33,10655.62,Marketing Expenses,Marketing,John Doe,South America
39,2020-05-26,12278.4,4934.52,7343.88,Sales Revenue,Finance,Sarah Brown,Europe
40,2023-03-31,16623.37,5921.77,10701.6,Operating Expenses,Marketing,Jane Smith,Europe
41,2019-11-19,27767.21,11060.89,16706.32,Marketing Expenses,Finance,Sarah Brown,Europe
42,2022-04-15,16203.76,16968.32,-764.56,Operating Expenses,Marketing,Jane Smith,Europe
43,2023-01-21,19817.94,16311.92,3506.02,Sales Revenue,Operations,Jane Smith,South America
44,2021-02-26,8922.02,12055.79,-3133.77,Operating Expenses,Operations,David Green,South America
45,2019-10-12,2877.48,14413.75,-11536.27,Sales Revenue,Finance,Jane Smith,North America
46,2019-07-07,11787.07,19144.91,-7357.84,Sales Revenue,Sales,Jane Smith,North America
47,2021-07-22,16489.88,17229.26,-739.38,Marketing Expenses,Operations,Jane Smith,Asia-Pacific
48,2022-03-31,14728.45,14825.85,-97.4,Sales Revenue,Finance,John Doe,North America
49,2019-11-23,1635.15,14640.77,-13005.62,Operating Expenses,Operations,David Green,South America
50,2021-08-11,114.47,16446.45,-16331.98,Marketing Expenses,Operations,John Doe,North America
51,2020-02-18,2628.85,9512.23,-6883.38,Operating Expenses,Finance,Jane Smith,North America
52,2023-04-06,24716.92,18488.56,6228.36,Sales Revenue,Finance,Jane Smith,Europe
53,2022-02-12,18752.73,4098.18,14654.55,Sales Revenue,Sales,Sarah Brown,Asia-Pacific
54,2024-02-01,14409.85,4362.18,10047.67,Sales Revenue,Marketing,Sarah Brown,North America
55,2023-02-03,2909.61,2312.83,596.78,Sales Revenue,Sales,John Doe,North America
56,2020-10-28,6208.59,8267.78,-2059.19,Sales Revenue,Marketing,John Doe,North America
57,2023-02-25,19145.72,14438.91,4706.81,Sales Revenue,Operations,Sarah Brown,North America
58,2022-12-26,29311.73,4502.25,24809.48,Sales Revenue,Finance,Sarah Brown,North America
59,2021-05-08,14207.12,9954.88,4252.24,Sales Revenue,Finance,David Green,Europe
60,2021-12-29,3465.27,19776.47,-16311.2,Marketing Expenses,Marketing,David Green,Europe
61,2019-10-20,23546.3,11416.18,12130.12,Sales Revenue,Marketing,Jane Smith,Asia-Pacific
62,2020-12-01,14128.33,19462.01,-5333.68,Operating Expenses,Finance,John Doe,North America
63,2021-09-29,26846.32,5099.73,21746.59,Operating Expenses,Sales,Jane Smith,South America
64,2020-10-31,7950.13,7484.32,465.81,Marketing Expenses,Marketing,Sarah Brown,South America
65,2024-03-08,19255.99,15400.28,3855.71,Sales Revenue,Operations,John Doe,Europe
66,2023-04-04,11625.81,4134.74,7491.07,Operating Expenses,Operations,David Green,South America
67,2022-01-10,11130.62,4316.86,6813.76,Operating Expenses,Finance,Jane Smith,Europe
68,2021-06-18,11443.36,14496.4,-3053.04,Operating Expenses,Sales,Sarah Brown,Europe
69,2022-08-21,5597.49,14384.85,-8787.36,Sales Revenue,Finance,Sarah Brown,South America
70,2019-08-18,1338.51,7533.71,-6195.2,Sales Revenue,Marketing,John Doe,Asia-Pacific
71,2021-07-27,13192.21,5777.14,7415.07,Sales Revenue,Marketing,John Doe,Europe
72,2019-05-12,7902.02,19659.97,-11757.95,Sales Revenue,Marketing,David Green,South America
73,2022-07-16,25112.36,9646.49,15465.87,Marketing Expenses,Marketing,Jane Smith,North America
74,2023-07-02,16927.4,15734.43,1192.97,Marketing Expenses,Sales,John Doe,Asia-Pacific
75,2022-01-01,4533.92,4011.0,522.92,Sales Revenue,Sales,John Doe,North America
76,2019-09-29,20894.13,2338.52,18555.61,Sales Revenue,Sales,David Green,Asia-Pacific
77,2021-05-14,2901.08,10716.59,-7815.51,Marketing Expenses,Sales,Jane Smith,North America
78,2022-07-12,20044.24,9762.45,10281.79,Sales Revenue,Marketing,Jane Smith,North America
79,2021-05-20,24245.4,5534.32,18711.08,Sales Revenue,Operations,David Green,South America
80,2024-08-06,12419.6,2590.27,9829.33,Sales Revenue,Operations,John Doe,South America
81,2023-06-09,22693.71,13876.2,8817.51,Sales Revenue,Marketing,John Doe,Asia-Pacific
82,2024-02-23,6825.38,12677.17,-5851.79,Operating Expenses,Operations,David Green,Asia-Pacific
83,2020-08-08,1829.51,10443.48,-8613.97,Operating Expenses,Sales,David Green,Europe
84,2021-12-20,11613.18,18353.53,-6740.35,Sales Revenue,Operations,Sarah Brown,Europe
85,2020-07-25,15677.47,2779.07,12898.4,Operating Expenses,Sales,John Doe,North America
86,2021-10-07,28968.83,7429.62,21539.21,Sales Revenue,Sales,Sarah Brown,North America
87,2021-12-12,20612.04,2184.9,18427.14,Marketing Expenses,Operations,David Green,Asia-Pacific
88,2023-10-21,28090.84,3737.06,24353.78,Marketing Expenses,Finance,Jane Smith,South America
89,2023-06-24,17181.43,4228.28,12953.15,Sales Revenue,Operations,David Green,North America
90,2023-01-22,7069.26,12832.26,-5763.0,Sales Revenue,Finance,David Green,North America
91,2021-06-17,8965.56,12576.85,-3611.29,Sales Revenue,Sales,John Doe,Europe
92,2020-07-20,11844.13,5600.44,6243.69,Sales Revenue,Marketing,John Doe,North America
93,2024-07-14,25618.19,14070.81,11547.38,Sales Revenue,Marketing,Sarah Brown,South America
94,2020-01-08,1041.85,2526.66,-1484.81,Operating Expenses,Sales,Sarah Brown,Asia-Pacific
95,2019-07-12,17136.6,4620.03,12516.57,Sales Revenue,Marketing,Jane Smith,Asia-Pacific
96,2020-03-25,15504.52,15431.56,72.96,Operating Expenses,Finance,Jane Smith,South America
97,2020-09-18,17144.56,6992.76,10151.8,Marketing Expenses,Operations,Sarah Brown,South America
98,2020-10-17,29482.64,12435.52,17047.12,Sales Revenue,Finance,David Green,North America
99,2023-09-26,4423.43,8339.66,-3916.23,Sales Revenue,Finance,Jane Smith,Asia-Pacific
100,2019-09-18,28477.64,17392.49,11085.15,Sales Revenue,Operations,Jane Smith,South America
101,2023-04-26,13471.19,16054.44,-2583.25,Operating Expenses,Finance,David Green,Asia-Pacific
102,2023-04-13,28471.84,13033.22,15438.62,Sales Revenue,Marketing,David Green,North America
103,2024-04-01,5014.94,11088.37,-6073.43,Sales Revenue,Sales,Sarah Brown,North America
104,2021-10-26,6356.7,3230.07,3126.63,Sales Revenue,Finance,David Green,Europe
105,2019-02-17,5781.78,16752.56,-10970.78,Operating Expenses,Sales,David Green,Europe
106,2020-04-14,1280.28,15738.39,-14458.11,Sales Revenue,Sales,Sarah Brown,South America
107,2021-12-28,2351.06,11519.1,-9168.04,Sales Revenue,Finance,Sarah Brown,Europe
108,2022-10-25,20493.76,14884.61,5609.15,Sales Revenue,Sales,John Doe,South America
109,2020-04-01,6057.58,19356.75,-13299.17,Sales Revenue,Sales,Jane Smith,Asia-Pacific
110,2022-04-17,24676.92,5091.92,19585.0,Sales Revenue,Operations,Sarah Brown,Asia-Pacific
111,2023-11-16,4436.35,15572.32,-11135.97,Marketing Expenses,Sales,Jane Smith,Asia-Pacific
112,2020-10-09,17851.43,2077.92,15773.51,Sales Revenue,Finance,David Green,South America
113,2024-02-02,9592.48,15056.29,-5463.81,Marketing Expenses,Marketing,Jane Smith,South America
114,2019-01-14,21813.09,18636.18,3176.91,Sales Revenue,Finance,Sarah Brown,Europe
115,2021-12-14,24220.31,18568.59,5651.72,Sales Revenue,Sales,Jane Smith,Asia-Pacific
116,2024-08-12,2610.82,17323.34,-14712.52,Sales Revenue,Marketing,John Doe,Europe
117,2021-01-01,16690.93,10544.88,6146.05,Operating Expenses,Finance,David Green,South America
118,2020-03-11,16561.63,14566.39,1995.24,Sales Revenue,Finance,David Green,Europe
119,2022-05-07,25698.73,5332.26,20366.47,Sales Revenue,Marketing,Sarah Brown,Asia-Pacific
120,2021-03-25,15590.65,14123.46,1467.19,Sales Revenue,Marketing,David Green,South America
121,2020-09-18,27514.86,3931.84,23583.02,Operating Expenses,Operations,Jane Smith,South America
122,2023-03-12,370.91,17025.36,-16654.45,Marketing Expenses,Finance,John Doe,North America
123,2020-10-23,21012.36,19663.42,1348.94,Sales Revenue,Sales,John Doe,Europe
124,2019-01-03,17627.28,9633.65,7993.63,Operating Expenses,Sales,John Doe,Europe
125,2022-08-20,23450.57,11256.52,12194.05,Marketing Expenses,Operations,David Green,Asia-Pacific
126,2024-06-24,3375.57,9336.4,-5960.83,Operating Expenses,Marketing,Sarah Brown,North America
127,2019-03-21,4489.27,15705.37,-11216.1,Sales Revenue,Operations,Jane Smith,South America
128,2020-04-03,16997.82,7657.04,9340.78,Sales Revenue,Finance,Sarah Brown,Europe
129,2023-01-26,17480.31,10386.23,7094.08,Sales Revenue,Marketing,Jane Smith,South America
130,2022-06-13,28944.95,11355.1,17589.85,Marketing Expenses,Marketing,Jane Smith,Europe
131,2021-09-07,3006.12,10924.69,-7918.57,Sales Revenue,Finance,John Doe,North America
132,2019-08-26,3169.04,8502.51,-5333.47,Sales Revenue,Marketing,John Doe,Asia-Pacific
133,2021-09-13,23386.34,7188.88,16197.46,Sales Revenue,Finance,Sarah Brown,South America
134,2019-11-19,23572.37,14998.46,8573.91,Sales Revenue,Marketing,Sarah Brown,North America
135,2019-12-17,26024.26,3480.46,22543.8,Sales Revenue,Marketing,David Green,Europe
136,2024-06-13,26404.07,10886.83,15517.24,Sales Revenue,Finance,Jane Smith,North America
137,2019-10-11,26336.81,8926.06,17410.75,Operating Expenses,Sales,Jane Smith,South America
138,2020-05-30,7924.1,10225.02,-2300.92,Sales Revenue,Operations,Sarah Brown,South America
139,2020-06-09,19643.63,15251.14,4392.49,Sales Revenue,Sales,Sarah Brown,Europe
140,2024-04-30,17160.7,14366.84,2793.86,Sales Revenue,Operations,John Doe,Europe
141,2020-11-07,14191.4,17139.62,-2948.22,Operating Expenses,Marketing,John Doe,Asia-Pacific
142,2021-12-21,5165.99,6065.72,-899.73,Sales Revenue,Finance,John Doe,Asia-Pacific
143,2023-09-30,12089.22,9331.08,2758.14,Sales Revenue,Operations,John Doe,South America
144,2021-05-17,18547.33,19729.32,-1181.99,Operating Expenses,Finance,David Green,Asia-Pacific
145,2021-04-03,20424.39,9703.31,10721.08,Sales Revenue,Operations,David Green,North America
146,2022-06-30,12051.6,17421.93,-5370.33,Operating Expenses,Sales,Jane Smith,North America
147,2023-06-23,11873.78,18105.58,-6231.8,Sales Revenue,Finance,Sarah Brown,North America
148,2023-03-10,26368.73,16443.86,9924.87,Sales Revenue,Finance,John Doe,North America
149,2023-11-30,20715.41,18903.48,1811.93,Operating Expenses,Operations,Jane Smith,Asia-Pacific
150,2024-01-24,1478.73,8613.95,-7135.22,Sales Revenue,Operations,David Green,South America
151,2020-05-10,14256.55,2230.15,12026.4,Sales Revenue,Sales,John Doe,South America
152,2021-10-12,8057.53,14134.86,-6077.33,Marketing Expenses,Finance,Sarah Brown,North America
153,2021-07-09,11173.22,14097.72,-2924.5,Operating Expenses,Sales,John Doe,North America
154,2019-09-20,10135.98,9134.66,1001.32,Sales Revenue,Marketing,John Doe,South America
155,2022-10-16,23809.56,11407.92,12401.64,Operating Expenses,Operations,David Green,North America
156,2019-03-28,9328.48,14177.34,-4848.86,Sales Revenue,Finance,David Green,Europe
157,2021-07-31,25285.4,4145.92,21139.48,Operating Expenses,Finance,John Doe,Asia-Pacific
158,2021-06-21,25747.04,9106.61,16640.43,Sales Revenue,Sales,John Doe,North America
159,2019-01-30,20545.56,14510.67,6034.89,Operating Expenses,Marketing,Sarah Brown,Europe
160,2019-10-18,29174.9,19596.28,9578.62,Sales Revenue,Finance,John Doe,Asia-Pacific
161,2019-08-30,6838.72,15345.78,-8507.06,Marketing Expenses,Marketing,John Doe,Europe
162,2021-07-26,9014.41,18063.7,-9049.29,Sales Revenue,Marketing,David Green,South America
163,2019-10-04,22311.71,5037.02,17274.69,Sales Revenue,Operations,John Doe,Asia-Pacific
164,2019-05-09,23220.93,8546.78,14674.15,Marketing Expenses,Sales,Sarah Brown,Asia-Pacific
165,2022-09-15,9626.05,5583.55,4042.5,Operating Expenses,Finance,Sarah Brown,South America
166,2019-10-18,21863.98,5604.74,16259.24,Marketing Expenses,Sales,John Doe,South America
167,2021-09-01,18149.37,17192.53,956.84,Operating Expenses,Marketing,Jane Smith,Europe
168,2022-02-14,2678.61,9277.2,-6598.59,Marketing Expenses,Operations,Sarah Brown,North America
169,2024-06-11,13251.5,6191.65,7059.85,Sales Revenue,Finance,Jane Smith,South America
170,2021-05-27,27402.98,9644.68,17758.3,Operating Expenses,Marketing,John Doe,Europe
171,2020-06-25,12215.11,10983.98,1231.13,Operating Expenses,Operations,John Doe,North America
172,2024-04-20,14533.81,15766.71,-1232.9,Sales Revenue,Sales,John Doe,Asia-Pacific
173,2021-09-22,15495.04,15787.5,-292.46,Sales Revenue,Marketing,Sarah Brown,North America
174,2024-04-21,11217.31,12685.7,-1468.39,Marketing Expenses,Finance,Jane Smith,North America
175,2023-07-26,1686.17,15613.45,-13927.28,Marketing Expenses,Marketing,Jane Smith,North America
176,2021-02-18,23744.71,16417.72,7326.99,Sales Revenue,Marketing,John Doe,South America
177,2020-01-22,1968.51,18978.05,-17009.54,Marketing Expenses,Finance,David Green,Asia-Pacific
178,2020-02-02,21287.08,8409.75,12877.33,Operating Expenses,Sales,David Green,Asia-Pacific
179,2023-11-01,12101.55,14000.19,-1898.64,Operating Expenses,Operations,Jane Smith,North America
180,2022-12-22,23415.49,19102.5,4312.99,Operating Expenses,Marketing,John Doe,Europe
181,2023-10-01,15728.59,19775.42,-4046.83,Marketing Expenses,Finance,Jane Smith,South America
182,2023-08-11,17060.17,11205.46,5854.71,Marketing Expenses,Sales,Sarah Brown,South America
183,2024-03-27,5212.12,4652.73,559.39,Sales Revenue,Marketing,David Green,Europe
184,2019-08-10,26255.42,10183.43,16071.99,Sales Revenue,Operations,John Doe,North America
185,2020-02-08,6021.8,4199.42,1822.38,Marketing Expenses,Marketing,Jane Smith,North America
186,2019-09-06,1728.83,10808.14,-9079.31,Sales Revenue,Operations,David Green,Europe
187,2023-07-08,992.13,6154.79,-5162.66,Marketing Expenses,Marketing,John Doe,Europe
188,2022-10-21,1516.78,18963.25,-17446.47,Marketing Expenses,Sales,John Doe,Europe
189,2020-03-23,10811.25,2535.02,8276.23,Marketing Expenses,Finance,Jane Smith,North America
190,2021-10-15,5973.29,15280.37,-9307.08,Sales Revenue,Operations,John Doe,Europe
191,2021-02-23,11050.56,16945.62,-5895.06,Sales Revenue,Marketing,Jane Smith,North America
192,2021-02-18,13926.55,10966.43,2960.12,Sales Revenue,Finance,John Doe,Europe
193,2024-01-12,11908.27,2481.48,9426.79,Marketing Expenses,Finance,John Doe,Europe
194,2020-07-28,27692.21,5223.72,22468.49,Operating Expenses,Operations,Jane Smith,North America
195,2023-09-25,20435.23,12882.51,7552.72,Sales Revenue,Finance,David Green,Europe
196,2021-01-21,7258.14,7885.21,-627.07,Sales Revenue,Finance,Sarah Brown,Europe
197,2022-02-14,14663.6,7449.55,7214.05,Sales Revenue,Sales,John Doe,Europe
198,2024-03-09,13383.1,13218.19,164.91,Sales Revenue,Finance,John Doe,South America
199,2021-10-20,28815.61,15683.09,13132.52,Operating Expenses,Operations,John Doe,Asia-Pacific
200,2019-11-05,14237.47,13899.45,338.02,Sales Revenue,Finance,John Doe,Asia-Pacific
201,2023-12-21,16540.01,11359.08,5180.93,Sales Revenue,Sales,John Doe,South America
202,2020-02-06,10327.47,10859.38,-531.91,Operating Expenses,Sales,Jane Smith,North America
203,2019-07-27,25129.61,10388.39,14741.22,Sales Revenue,Marketing,David Green,North America
204,2019-03-02,7759.8,7284.13,475.67,Sales Revenue,Sales,Sarah Brown,Asia-Pacific
205,2020-01-18,24926.11,10962.18,13963.93,Operating Expenses,Sales,John Doe,Asia-Pacific
206,2021-08-26,2711.76,11086.31,-8374.55,Sales Revenue,Finance,Sarah Brown,South America
207,2020-11-12,823.51,11763.89,-10940.38,Operating Expenses,Finance,Jane Smith,North America
208,2023-07-23,1489.53,16570.67,-15081.14,Sales Revenue,Finance,David Green,Europe
209,2024-06-12,25614.64,11729.52,13885.12,Operating Expenses,Finance,Jane Smith,Europe
210,2024-05-25,23394.9,2318.07,21076.83,Sales Revenue,Sales,Sarah Brown,South America
211,2021-05-25,6429.56,15751.37,-9321.81,Sales Revenue,Finance,Jane Smith,South America
212,2023-07-01,6640.53,19832.81,-13192.28,Sales Revenue,Operations,David Green,Europe
213,2019-08-29,6753.36,17842.26,-11088.9,Sales Revenue,Marketing,David Green,South America
214,2020-11-05,6201.93,4144.41,2057.52,Sales Revenue,Sales,Sarah Brown,Europe
215,2023-04-02,19547.62,10102.08,9445.54,Sales Revenue,Marketing,Jane Smith,Asia-Pacific
216,2019-01-09,15398.44,17351.74,-1953.3,Marketing Expenses,Operations,David Green,South America
217,2023-05-19,25938.9,9966.01,15972.89,Marketing Expenses,Operations,David Green,North America
218,2021-12-22,29014.15,2647.66,26366.49,Marketing Expenses,Finance,John Doe,Europe
219,2024-02-07,20465.99,5183.65,15282.34,Marketing Expenses,Marketing,David Green,South America
220,2022-03-14,14222.92,13869.4,353.52,Operating Expenses,Marketing,John Doe,North America
221,2023-09-29,3969.42,16028.88,-12059.46,Operating Expenses,Finance,John Doe,Europe
222,2024-06-16,5196.02,17924.6,-12728.58,Sales Revenue,Sales,Sarah Brown,Asia-Pacific
223,2020-09-26,24025.94,4954.6,19071.34,Sales Revenue,Marketing,Sarah Brown,South America
224,2021-02-16,6713.1,9752.26,-3039.16,Operating Expenses,Sales,David Green,Asia-Pacific
225,2022-04-30,18250.32,7624.27,10626.05,Sales Revenue,Marketing,Jane Smith,North America
226,2021-06-10,28290.15,9003.45,19286.7,Sales Revenue,Marketing,Jane Smith,South America
227,2019-08-28,21382.21,15752.2,5630.01,Operating Expenses,Sales,Sarah Brown,Europe
228,2019-09-07,21281.05,12239.39,9041.66,Sales Revenue,Marketing,Jane Smith,South America
229,2022-07-08,8261.36,10829.97,-2568.61,Marketing Expenses,Sales,Sarah Brown,Europe
230,2019-08-23,26864.49,11968.11,14896.38,Marketing Expenses,Marketing,Jane Smith,Europe
231,2019-07-25,25547.59,11709.06,13838.53,Sales Revenue,Operations,Sarah Brown,Asia-Pacific
232,2024-05-06,13769.94,10456.73,3313.21,Marketing Expenses,Sales,Sarah Brown,North America
233,2024-08-21,6546.27,12120.6,-5574.33,Sales Revenue,Marketing,Sarah Brown,Europe
234,2020-10-06,9064.35,4813.6,4250.75,Operating Expenses,Sales,Jane Smith,Asia-Pacific
235,2019-08-21,15619.14,3003.27,12615.87,Marketing Expenses,Marketing,David Green,North America
236,2019-11-25,18708.18,6741.04,11967.14,Operating Expenses,Finance,John Doe,South America
237,2021-01-31,17534.61,12638.81,4895.8,Sales Revenue,Sales,Jane Smith,Asia-Pacific
238,2019-10-08,220.43,8800.36,-8579.93,Marketing Expenses,Operations,John Doe,Europe
239,2019-10-06,29982.88,14176.78,15806.1,Sales Revenue,Operations,David Green,Europe
240,2021-08-21,28994.56,15796.47,13198.09,Sales Revenue,Sales,Jane Smith,Europe
241,2023-07-12,25181.35,7119.88,18061.47,Operating Expenses,Sales,David Green,Europe
242,2020-05-06,16843.71,3105.63,13738.08,Operating Expenses,Finance,Sarah Brown,Europe
243,2021-10-05,17813.18,12628.34,5184.84,Sales Revenue,Sales,David Green,North America
244,2019-06-12,8480.31,4307.57,4172.74,Marketing Expenses,Marketing,David Green,South America
245,2019-12-02,20532.39,8595.38,11937.01,Sales Revenue,Marketing,John Doe,Asia-Pacific
246,2023-09-14,14452.15,16571.96,-2119.81,Operating Expenses,Finance,David Green,North America
247,2022-07-19,10088.51,12511.41,-2422.9,Marketing Expenses,Operations,Jane Smith,North America
248,2021-12-04,8294.5,15773.49,-7478.99,Marketing Expenses,Marketing,John Doe,Europe
249,2021-04-16,9754.11,13252.75,-3498.64,Sales Revenue,Sales,Sarah Brown,Asia-Pacific
250,2022-07-10,8306.55,8850.32,-543.77,Operating Expenses,Sales,John Doe,North America
251,2021-09-04,19683.59,9706.67,9976.92,Marketing Expenses,Operations,John Doe,Asia-Pacific
252,2021-12-23,28565.63,19855.02,8710.61,Sales Revenue,Marketing,Jane Smith,North America
253,2023-06-10,19543.99,9414.73,10129.26,Sales Revenue,Operations,Sarah Brown,Europe
254,2020-06-20,5650.8,3016.09,2634.71,Marketing Expenses,Finance,John Doe,Asia-Pacific
255,2022-05-13,15518.81,6396.12,9122.69,Sales Revenue,Sales,Jane Smith,North America
256,2024-02-16,7209.06,6223.2,985.86,Operating Expenses,Operations,David Green,Asia-Pacific
257,2022-07-19,1703.24,7617.79,-5914.55,Operating Expenses,Sales,Jane Smith,North America
258,2019-10-25,25719.46,3528.95,22190.51,Marketing Expenses,Marketing,David Green,Europe
259,2019-02-08,24300.87,14383.84,9917.03,Sales Revenue,Sales,Sarah Brown,South America
260,2024-02-21,12122.95,17640.92,-5517.97,Operating Expenses,Marketing,Jane Smith,South America
261,2020-02-14,9587.57,4060.48,5527.09,Sales Revenue,Finance,John Doe,Europe
262,2019-10-28,4197.89,5056.03,-858.14,Sales Revenue,Finance,Jane Smith,North America
263,2021-05-23,763.66,11691.5,-10927.84,Marketing Expenses,Operations,Sarah Brown,Asia-Pacific
264,2021-12-22,14921.18,2672.8,12248.38,Operating Expenses,Finance,Sarah Brown,Europe
265,2020-06-26,8868.14,13839.82,-4971.68,Sales Revenue,Marketing,Sarah Brown,Asia-Pacific
266,2022-11-30,27207.35,9604.51,17602.84,Marketing Expenses,Operations,David Green,Asia-Pacific
267,2019-10-09,12137.97,11265.68,872.29,Sales Revenue,Finance,John Doe,North America
268,2021-09-27,22101.96,9581.11,12520.85,Sales Revenue,Finance,David Green,North America
269,2023-02-22,17490.71,2367.24,15123.47,Sales Revenue,Finance,John Doe,Asia-Pacific
270,2022-03-13,29842.61,10454.6,19388.01,Sales Revenue,Sales,Sarah Brown,South America
271,2020-10-08,24480.44,2400.26,22080.18,Sales Revenue,Finance,David Green,Asia-Pacific
272,2023-11-30,10295.01,7697.26,2597.75,Sales Revenue,Finance,David Green,North America
273,2022-05-24,21401.08,12266.36,9134.72,Marketing Expenses,Sales,David Green,Asia-Pacific
274,2019-02-02,20589.54,7803.58,12785.96,Sales Revenue,Operations,Sarah Brown,Europe
275,2022-05-11,19149.41,3759.06,15390.35,Sales Revenue,Operations,Sarah Brown,South America
276,2020-02-29,14272.06,10790.46,3481.6,Operating Expenses,Sales,Sarah Brown,North America
277,2020-07-04,28220.04,14435.55,13784.49,Sales Revenue,Sales,John Doe,Europe
278,2021-12-19,10754.91,5706.35,5048.56,Operating Expenses,Sales,Sarah Brown,North America
279,2020-04-17,9005.84,10941.17,-1935.33,Sales Revenue,Sales,Sarah Brown,Asia-Pacific
280,2020-03-14,5099.6,16606.23,-11506.63,Marketing Expenses,Operations,David Green,Asia-Pacific
281,2020-09-28,19728.44,14012.98,5715.46,Sales Revenue,Marketing,David Green,North America
282,2022-01-20,16747.44,4999.29,11748.15,Sales Revenue,Marketing,David Green,Asia-Pacific
283,2022-02-28,8813.52,7391.38,1422.14,Sales Revenue,Operations,John Doe,Europe
284,2021-05-12,14123.43,19449.7,-5326.27,Sales Revenue,Finance,David Green,North America
285,2022-11-05,22227.57,5631.66,16595.91,Marketing Expenses,Finance,David Green,Asia-Pacific
286,2021-04-13,21755.6,13438.0,8317.6,Sales Revenue,Finance,David Green,North America
287,2021-12-17,16770.95,19533.93,-2762.98,Sales Revenue,Operations,David Green,Asia-Pacific
288,2024-06-24,27378.74,3355.78,24022.96,Sales Revenue,Sales,Sarah Brown,South America
289,2021-10-25,28407.7,17306.02,11101.68,Sales Revenue,Sales,John Doe,North America
290,2019-07-28,26987.73,5853.44,21134.29,Marketing Expenses,Sales,David Green,Asia-Pacific
291,2020-01-14,19633.04,6772.79,12860.25,Operating Expenses,Finance,Jane Smith,South America
292,2023-10-01,6667.61,7351.76,-684.15,Operating Expenses,Marketing,Sarah Brown,North America
293,2022-02-07,6699.84,12323.37,-5623.53,Sales Revenue,Finance,Sarah Brown,South America
